,phone,name1,name2,levenshteinDistance,maxLength,normalized
0,3037705531,C E PARISH GENERAL AGENT,MID-WEST FAMILY BROADCASTING,22,28,0.7857142857142857
1,3037705531,C E PARISH GENERAL AGENT,JACOB YOUNG FINANCIAL,21,24,0.875
2,3037705531,C E PARISH GENERAL AGENT,NICK GOULD PHOTOGRAPHY,22,24,0.9166666666666666
3,3037705531,C E PARISH GENERAL AGENT,TAURUS MARKET RESEARCH,20,24,0.8333333333333334
4,3037705531,C E PARISH GENERAL AGENT,DESIGN ALLIANCE,18,24,0.75
5,3037705531,C E PARISH GENERAL AGENT,LOCKWOOD LEADERSHIP INTERNATIONAL,25,33,0.7575757575757576
6,3037705531,C E PARISH GENERAL AGENT,AQUACHAMPS SWIM SCHOOL,22,24,0.9166666666666666
7,3037705531,C E PARISH GENERAL AGENT,CENTRAL LAKES COLLEGE,18,24,0.75
8,3037705531,C E PARISH GENERAL AGENT,TAGS & LABELS PRINTING INC,21,26,0.8076923076923077
9,3037705531,C E PARISH GENERAL AGENT,E B PRO SERVICE,16,24,0.6666666666666666
10,3037705531,C E PARISH GENERAL AGENT,VITRO PACKAGING,18,24,0.75
11,3037705531,C E PARISH GENERAL AGENT,FACTORY DIRECT APPLIANCE,21,24,0.875
12,3037705531,C E PARISH GENERAL AGENT,DIMARE FRESH,19,24,0.7916666666666666
13,3037705531,C E PARISH GENERAL AGENT,INDOFF INC.,21,24,0.875
14,3037705531,C E PARISH GENERAL AGENT,BARTLESVILLE ACCOUNTS RECEIVABLE,28,32,0.875
15,3037705531,C E PARISH GENERAL AGENT,EXECUTIVE APPLIANCE SERVICES,23,28,0.8214285714285714
16,3037705531,C E PARISH GENERAL AGENT,SAINT PAUL PUBLIC SCHOOLS - #625,27,32,0.84375
17,3037705531,C E PARISH GENERAL AGENT,ALAN ASHMORE CONSTRUCTION,22,25,0.88
18,3037705531,C E PARISH GENERAL AGENT,HANNOVER CONSULTING,20,24,0.8333333333333334
19,3037705531,C E PARISH GENERAL AGENT,RAY EAST PHOTOGRAPHY,19,24,0.7916666666666666
20,3037705531,C E PARISH GENERAL AGENT,LAKEWOOD CHAMBER OF COMMERCE,23,28,0.8214285714285714
21,3037705531,C E PARISH GENERAL AGENT,A&H WINDOWS PLUS INC,20,24,0.8333333333333334
22,3037705531,C E PARISH GENERAL AGENT,W&S FINANCIAL GROUP DISTRIBUTORS INC,29,36,0.8055555555555556
23,3037705531,C E PARISH GENERAL AGENT,IMAGES BY KATHARINE,18,24,0.75
24,3037705531,C E PARISH GENERAL AGENT,HAIR INNOVATIONS,18,24,0.75
25,3037705531,C E PARISH GENERAL AGENT,LOFTY LOU'S YARN SHOP,21,24,0.875
26,3037705531,C E PARISH GENERAL AGENT,TEXAS INSTRUMENTS INCORPORATED,24,30,0.8
27,3037705531,C E PARISH GENERAL AGENT,365 RETAIL MARKETS,19,24,0.7916666666666666
28,3037705531,C E PARISH GENERAL AGENT,LAW OFFICE OF ROBERT BERKE,21,26,0.8076923076923077
29,3037705531,C E PARISH GENERAL AGENT,PCM NETWORKING,19,24,0.7916666666666666
30,3037705531,C E PARISH GENERAL AGENT,GREENBERG TRAURIG: HARRIS FRED F,24,32,0.75
31,3037705531,C E PARISH GENERAL AGENT,SERGENT MECHANICAL,20,24,0.8333333333333334
32,3037705531,C E PARISH GENERAL AGENT,SRT ENTERPRISES INC.,21,24,0.875
33,3037705531,C E PARISH GENERAL AGENT,JANGOMAIL,21,24,0.875
34,3037705531,C E PARISH GENERAL AGENT,CHAMBER OF COMMERCE ISLE OF WIGHT SMITHFIELD WINDSOR,42,52,0.8076923076923077
35,3037705531,C E PARISH GENERAL AGENT,KUKURIN CHIROPRACTIC,19,24,0.7916666666666666
36,3037705531,C E PARISH GENERAL AGENT,FISHERMEN'S SPOT,18,24,0.75
37,3037705531,C E PARISH GENERAL AGENT,ONE CORNER AT A TIME EMPLOYMENT SERVICE,29,39,0.7435897435897436
38,3037705531,C E PARISH GENERAL AGENT,H & O DIE SUPPLY INC,18,24,0.75
39,3037705531,C E PARISH GENERAL AGENT,ASPT INC,20,24,0.8333333333333334
